session,condition,period,unit,buyer,buyer_persona,seller,seller_persona,quantity,price,bid_limit,ask_limit
speculative-v1-s140927,RA+MC+BT+PC+NT+OC,14,2,trader-00,MC,trader-09,BT,1,2.6,2.6,2.5
speculative-v1-s140927,RA+MC+BT+PC+NT+OC,14,3,trader-00,MC,trader-09,BT,1,2.6,2.6,2.5
speculative-v1-s140927,RA+MC+BT+PC+NT+OC,14,4,trader-00,MC,trader-09,BT,1,2.6,2.6,2.5
speculative-v1-s140927,RA+MC+BT+PC+NT+OC,14,5,trader-01,NT,trader-10,BT,1,2.6,2.6,2.6
speculative-v1-s140928,RA+MC+BT+PC+NT+OC,4,1,trader-11,MC,trader-08,PC,1,1.28,1.75,0.95
speculative-v1-s140928,RA+MC+BT+PC+NT+OC,4,2,trader-11,MC,trader-08,PC,1,1.28,1.75,0.95
speculative-v1-s140928,RA+MC+BT+PC+NT+OC,4,3,trader-06,NT,trader-08,PC,1,1.28,1.6,0.95
speculative-v1-s140928,RA+MC+BT+PC+NT+OC,4,4,trader-06,NT,trader-08,PC,1,1.28,1.6,0.95
speculative-v1-s140928,RA+MC+BT+PC+NT+OC,5,1,trader-11,MC,trader-02,RA,1,1.38,1.75,1.2
speculative-v1-s140928,RA+MC+BT+PC+NT+OC,5,2,trader-11,MC,trader-02,RA,1,1.38,1.75,1.2
speculative-v1-s140928,RA+MC+BT+PC+NT+OC,5,3,trader-06,NT,trader-02,RA,1,1.38,1.7,1.2
speculative-v1-s140928,RA+MC+BT+PC+NT+OC,5,4,trader-06,NT,trader-02,RA,1,1.38,1.7,1.2
speculative-v1-s140928,RA+MC+BT+PC+NT+OC,5,5,trader-06,NT,trader-01,PC,1,1.38,1.7,1.25
speculative-v1-s140928,RA+MC+BT+PC+NT+OC,5,6,trader-06,NT,trader-01,PC,1,1.38,1.7,1.25
speculative-v1-s140928,RA+MC+BT+PC+NT+OC,5,7,trader-09,MC,trader-01,PC,1,1.38,1.5,1.25
speculative-v1-s140928,RA+MC+BT+PC+NT+OC,6,1,trader-06,NT,trader-01,PC,1,1.55,1.8,1.35
speculative-v1-s140928,RA+MC+BT+PC+NT+OC,6,2,trader-06,NT,trader-00,RA,1,1.55,1.8,1.35
speculative-v1-s140928,RA+MC+BT+PC+NT+OC,6,3,trader-06,NT,trader-00,RA,1,1.55,1.8,1.35
speculative-v1-s140928,RA+MC+BT+PC+NT+OC,6,4,trader-06,NT,trader-00,RA,1,1.55,1.8,1.35
speculative-v1-s140928,RA+MC+BT+PC+NT+OC,6,5,trader-11,MC,trader-00,RA,1,1.55,1.75,1.35
speculative-v1-s140928,RA+MC+BT+PC+NT+OC,28,1,trader-06,NT,trader-07,BT,1,2.88,3.9,1.85
speculative-v1-s140928,RA+MC+BT+PC+NT+OC,28,2,trader-06,NT,trader-07,BT,1,2.88,3.9,1.85
speculative-v1-s140928,RA+MC+BT+PC+NT+OC,28,3,trader-06,NT,trader-07,BT,1,2.88,3.9,1.85
speculative-v1-s140928,RA+MC+BT+PC+NT+OC,28,4,trader-06,NT,trader-07,BT,1,2.88,3.9,1.85
speculative-v1-s140928,RA+MC+BT+PC+NT+OC,29,1,trader-06,NT,trader-05,BT,1,3.35,3.9,2.8
speculative-v1-s140928,RA+MC+BT+PC+NT+OC,29,2,trader-06,NT,trader-05,BT,1,3.35,3.9,2.8
speculative-v1-s140928,RA+MC+BT+PC+NT+OC,29,3,trader-06,NT,trader-05,BT,1,3.35,3.9,2.8
speculative-v1-s140928,RA+MC+BT+PC+NT+OC,29,4,trader-06,NT,trader-05,BT,1,3.35,3.9,2.8
